Smart-WorkFlow :: Basic :: Agent	org.skyscreamer:jsonassert	1.5.3	test
Smart-WorkFlow :: Basic :: Agent	org.slf4j:jcl-over-slf4j	2.0.17	compile
Smart-WorkFlow :: Basic :: Agent	org.slf4j:jul-to-slf4j	2.0.17	compile
Smart-WorkFlow :: Basic :: Agent	org.slf4j:slf4j-api	2.0.17	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-autoconfigure-model-chat-client	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-autoconfigure-model-chat-memory	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-autoconfigure-model-chat-observation	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-autoconfigure-model-embedding-observation	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-autoconfigure-model-image-observation	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-autoconfigure-model-ollama	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-autoconfigure-model-openai	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-autoconfigure-model-tool	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-autoconfigure-retry	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-autoconfigure-vector-store-observation	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-autoconfigure-vector-store-pgvector	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-client-chat	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-commons	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-model	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-ollama	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-openai	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-pgvector-store	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-retry	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-starter-model-ollama	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-starter-model-openai	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-starter-vector-store-pgvector	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-template-st	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.ai:spring-ai-vector-store	1.0.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot	3.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot-autoconfigure	3.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot-starter	3.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot-starter-aop	3.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot-starter-data-redis	3.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot-starter-jdbc	3.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot-starter-json	3.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot-starter-logging	3.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot-starter-security	3.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot-starter-test	3.4.4	test
Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot-starter-tomcat	3.4.4	compile
Smart-WorkFlow :: Basic :: Agent	org.springframework.boot:spring-boot-starter-web	3.4.4	compile
