consumer_module	heavy_class	heavy_artifact	artifact_scope	entry_from	chain
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-microsoft-module:jar:3.1.0	compile	org.apache.tika:tika-parser-microsoft-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-microsoft-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-miscoffice-module:jar:3.1.0	compile	org.apache.tika:tika-parser-miscoffice-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-miscoffice-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-news-module:jar:3.1.0	compile	org.apache.tika:tika-parser-news-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-news-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-ocr-module:jar:3.1.0	compile	org.apache.tika:tika-parser-ocr-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-ocr-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-pdf-module:jar:3.1.0	compile	org.apache.tika:tika-parser-pdf-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-pdf-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-pkg-module:jar:3.1.0	compile	org.apache.tika:tika-parser-pkg-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-pkg-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-text-module:jar:3.1.0	compile	org.apache.tika:tika-parser-text-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-text-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-webarchive-module:jar:3.1.0	compile	org.apache.tika:tika-parser-webarchive-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-webarchive-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-xml-module:jar:3.1.0	compile	org.apache.tika:tika-parser-xml-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-xml-module:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-xmp-commons:jar:3.1.0	compile	org.apache.tika:tika-parser-xmp-commons:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-xmp-commons:jar:3.1.0
sw-basic-knowledge	Tika	org.apache.tika:tika-parser-zip-commons:jar:3.1.0	compile	org.apache.tika:tika-parser-apple-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-apple-module:jar:3.1.0 > org.apache.tika:tika-parser-zip-commons:jar:3.1.0
sw-basic-knowledge	PDFBox	org.apache.pdfbox:fontbox:jar:3.0.4	compile	org.apache.pdfbox:fontbox:jar:3.0.4	org.apache.pdfbox:pdfbox:jar:3.0.4:compile > org.apache.pdfbox:fontbox:jar:3.0.4
sw-basic-knowledge	PDFBox	org.apache.pdfbox:jbig2-imageio:jar:3.0.4	compile	org.apache.tika:tika-parser-image-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-image-module:jar:3.1.0 > org.apache.pdfbox:jbig2-imageio:jar:3.0.4
sw-basic-knowledge	PDFBox	org.apache.pdfbox:jempbox:jar:1.8.17	compile	org.apache.tika:tika-parser-pdf-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-pdf-module:jar:3.1.0 > org.apache.pdfbox:jempbox:jar:1.8.17
sw-basic-knowledge	PDFBox	org.apache.pdfbox:pdfbox-io:jar:3.0.4	compile	org.apache.pdfbox:pdfbox-io:jar:3.0.4	org.apache.pdfbox:pdfbox:jar:3.0.4:compile > org.apache.pdfbox:pdfbox-io:jar:3.0.4
sw-basic-knowledge	PDFBox	org.apache.pdfbox:pdfbox-tools:jar:3.0.4	compile	org.apache.tika:tika-parser-pdf-module:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-pdf-module:jar:3.1.0 > org.apache.pdfbox:pdfbox-tools:jar:3.0.4
sw-basic-knowledge	PDFBox	org.apache.pdfbox:xmpbox:jar:3.0.4	compile	org.apache.tika:tika-parser-xmp-commons:jar:3.1.0	org.apache.tika:tika-parsers-standard-package:jar:3.1.0:compile > org.apache.tika:tika-parser-xmp-commons:jar:3.1.0 > org.apache.pdfbox:xmpbox:jar:3.0.4
sw-basic-knowledge	pgvector	org.springframework.ai:spring-ai-autoconfigure-vector-store-pgvector:jar:1.0.4	compile	org.springframework.ai:spring-ai-autoconfigure-vector-store-pgvector:jar:1.0.4	org.springframework.ai:spring-ai-starter-vector-store-pgvector:jar:1.0.4:compile > org.springframework.ai:spring-ai-autoconfigure-vector-store-pgvector:jar:1.0.4
sw-basic-knowledge	pgvector	org.springframework.ai:spring-ai-pgvector-store:jar:1.0.4	compile	org.springframework.ai:spring-ai-pgvector-store:jar:1.0.4	org.springframework.ai:spring-ai-starter-vector-store-pgvector:jar:1.0.4:compile > org.springframework.ai:spring-ai-pgvector-store:jar:1.0.4
sw-basic-knowledge	SpringAI	org.springframework.ai:spring-ai-autoconfigure-vector-store-observation:jar:1.0.4	compile	org.springframework.ai:spring-ai-autoconfigure-vector-store-observation:jar:1.0.4	org.springframework.ai:spring-ai-starter-vector-store-pgvector:jar:1.0.4:compile > org.springframework.ai:spring-ai-autoconfigure-vector-store-observation:jar:1.0.4
sw-basic-knowledge	SpringAI	org.springframework.ai:spring-ai-autoconfigure-vector-store-pgvector:jar:1.0.4	compile	org.springframework.ai:spring-ai-autoconfigure-vector-store-pgvector:jar:1.0.4	org.springframework.ai:spring-ai-starter-vector-store-pgvector:jar:1.0.4:compile > org.springframework.ai:spring-ai-autoconfigure-vector-store-pgvector:jar:1.0.4
